station,unit,start,finish,grams,wingband,seconds
WH201,5,14/11/2016 05:48:34,14/11/2016 05:49:30,-00035.00,3791146761331,000056
WH201,3,14/11/2016 05:49:09,14/11/2016 05:49:38,-00029.00,3791152951401,000029
WH201,8,14/11/2016 05:49:11,14/11/2016 05:49:29,-00004.00,3791143651047,000018
WH201,4,14/11/2016 05:49:21,14/11/2016 05:49:29,-00004.00,3791149801113,000008
WH201,8,14/11/2016 05:49:33,14/11/2016 05:50:27,-00017.00,3791143651047,000054
WH201,6,14/11/2016 05:49:39,14/11/2016 05:51:00,-00023.00,3791152941101,000081
WH201,3,14/11/2016 05:49:54,14/11/2016 05:52:28,-00070.00,3791149811116,000154
WH201,1,14/11/2016 05:49:58,14/11/2016 05:51:11,-00037.00,3791146741131,000073
WH201,7,14/11/2016 05:49:59,14/11/2016 05:50:41,-00032.00,3791149861014,000042
WH201,8,14/11/2016 05:50:33,14/11/2016 05:51:35,-00016.00,3791143651047,000062
WH201,4,14/11/2016 05:51:09,14/11/2016 05:51:43,-00020.00,3791149801113,000034
WH201,5,14/11/2016 05:51:20,14/11/2016 05:51:57,-00017.00,3791146761331,000037
WH201,1,14/11/2016 05:51:30,14/11/2016 05:52:48,-00039.00,3791143651237,000078
WH201,2,14/11/2016 05:51:49,14/11/2016 05:52:11,-00024.00,3791146701228,000022
WH201,4,14/11/2016 05:51:54,14/11/2016 05:52:20,-00016.00,3791149801113,000026
WH201,6,14/11/2016 05:52:26,14/11/2016 05:56:34,-00153.00,3791149801520,000248
WH201,5,14/11/2016 05:52:26,14/11/2016 05:53:51,-00033.00,3791143601751,000085
WH201,2,14/11/2016 05:52:34,14/11/2016 05:53:40,-00031.00,3791146701228,000066
WH201,4,14/11/2016 05:52:38,14/11/2016 05:53:00,-00017.00,3791149861015,000022
WH201,3,14/11/2016 05:52:47,14/11/2016 05:53:21,-00031.00,3791149801517,000034
WH201,4,14/11/2016 05:53:22,14/11/2016 05:55:28,-00080.00,3791146741532,000126
WH201,3,14/11/2016 05:53:33,14/11/2016 05:54:22,-00022.00,3791152901701,000049
WH201,7,14/11/2016 05:53:34,14/11/2016 05:53:43,-00007.00,3791149861014,000009
WH201,5,14/11/2016 05:53:58,14/11/2016 05:55:19,-00058.00,3791143621264,000081
WH201,2,14/11/2016 05:54:05,14/11/2016 05:56:33,-00082.00,3791152951005,000148
WH201,7,14/11/2016 05:54:25,14/11/2016 05:56:48,-00086.00,3791143631048,000143
WH201,3,14/11/2016 05:54:25,14/11/2016 05:56:46,-00043.00,3791152901701,000141
WH201,8,14/11/2016 05:54:35,14/11/2016 05:55:46,-00023.00,3791146741030,000071
WH201,1,14/11/2016 05:55:38,14/11/2016 05:56:20,-00028.00,3791143611045,000042
